iid	model	creator	title	date	department
und:00000001r2s	Etd	Stacey S Tiberio	The Effects of Misspecified Measurement Interval in Multivariate Latent Differential Equation Models	2011-01-06	University of Notre Dame::College of Arts and Letters::Psychology
und:00000001r4g	Etd	Michael Paul Davis	Experimental Investigation of the Cavitation of Aviation Fuel in a Converging-Diverging Nozzle	2008-05-19	University of Notre Dame::College of Engineering::Aerospace and Mechanical Engineering
und:00000001r5t	Etd	Carolyn Ann Dehner	Insights into iron acquistion from mineral sources by pseudomonads	2011-07-11	University of Notre Dame::College of Science::Chemistry and Biochemistry
und:00000001s0d	Etd	Ryan Dee Ross	Functionalized Gold Nanoparticles as Damage-Specific X-ray Computed Tomography Contrast Agents in Bone Tissue	2011-11-30	University of Notre Dame::College of Engineering::Aerospace and Mechanical Engineering
und:00000001s1r	Etd	Jeremy Thurston Newkirk	Dynamic Performance Analysis of a Robotic System Using Reliability-Based Design Optimization	2007-12-11	University of Notre Dame::College of Engineering::Aerospace and Mechanical Engineering
und:00000001s3f	Etd	Ryan Christopher Kennedy	Identification and Annotation of Transposable Elements and Agent- and GIS-based Modeling of Pathogen Transmission	2011-04-13	University of Notre Dame::College of Engineering::Computer Science and Engineering
und:00000001s4s	Etd	Julieann Ulin	The Stranger in the House: Domestic Invasion in Twentieth-Century Irish and American Literature	2008-09-09	University of Notre Dame::College of Arts and Letters::English
und:02870v8507t	Etd	Dori C. Woods	Cellular mechanisms regulating follicle selection and granulosa cell differentiation in avian ovarian follicles	2007-08-06	University of Notre Dame::College of Engineering::Biological Sciences
und:02870v8510q	Etd	Sheng Li	An Integrated Power, Area, and Timing Modeling Framework for the Design of Multithreaded and Multi/Manycore Architectures	2010-10-20	University of Notre Dame::College of Engineering::Electrical Engineering
und:02870v8509h	Etd	Peter Svoisky	Search for Mssm Higgs Boson Production in Ppbar Collisions at Sqrt(S)=1.96 Tev, With a Higgs Decaying Into Taus	2008-07-16	University of Notre Dame::College of Science::Physics
und:02870v8512d	Etd	Muhammad Owais Iqbal	Coherent Structure in a Turbulent Axisymmetric Jet via a Vector Implementation of the Proper Orthogonal Decomposition	2006-12-21	University of Notre Dame::College of Engineering::Aerospace and Mechanical Engineering
und:02870v85143	Etd	Elizabeth A. McNicholas	Human Flourishing in the American City: A New Plan for Detroit's Underserved Population	2006-05-15	
und:02870v85174	Etd	Ralf Matthias Bendlin	Intercell Interference Coordination Without Base Station Cooperation for Wireless Cellular Networks	2011-07-20	University of Notre Dame::College of Engineering::Electrical Engineering
und:02870v8518g	Etd	Shannon Noelle Gayk	"Sensible Signes": Mediating Images in Late Medieval Literature	2006-03-22	University of Notre Dame::College of Arts and Letters::English
und:02870v8519t	Etd	Joel Michael Dodson	"Some newer name than Christian": Confessionalization in Early Modern English Literature, Spenser to Donne	2011-07-27	University of Notre Dame::College of Arts and Letters::English
und:02870v85201	Etd	Myriam Patricia Roy	Structure-Activity Relationship of the Myriaporones and Biosynthetic Study of Tedanolide	2008-09-18	University of Notre Dame::College of Science::Chemistry and Biochemistry
und:02870v85232	Etd	Susan M Skube	The Regulation of CLIP-170-Microtubule Binding	2010-12-14	University of Notre Dame::College of Science::Chemistry and Biochemistry
und:02870v85263	Etd	Kelly A. Warmuth	Parent–Child Attachment Stability and Trajectories of Externalizing Behavior		University of Notre Dame::College of Arts and Letters::Psychology
und:02870v85294	Etd	Tanya Salyers	Network Based Modeling in Social Sciences and Biology	2012-06-15	University of Notre Dame::College of Science::Applied and Computational Mathematics and Statistics
und:02870v8534q	Etd	Kevin B Phaup	Rebuilding Nepal: Applying Design Thinking to Sheltering in the Wake of Natural Disasters		University of Notre Dame::College of Arts and Letters::Art, Art History, and Design
und:05741r68945	Etd	Katherine Erin Cunningham	With God on Their Side	2010-12-09	University of Notre Dame::College of Arts and Letters::Art, Art History, and Design
und:05741r6896v	Etd	Delores (Lora) Anne Smitham	Evaluating an Intuitive Eating Program for Binge Eating Disorder: A Benchmarking Study	2010-07-26	University of Notre Dame::College of Arts and Letters::Psychology
und:05741r68976	Etd	Theresa O'Byrne	Dublin&#39;s Hoccleve: James Yonge, Scribe, Author, and Bureaucrat, and the Literary World of Late Medieval Dublin	2012-08-06	University of Notre Dame::Centers and Institutes::Medieval Institute
und:05741r6899w	Etd	Margaret Nicola Abruzzo	Polemical Pain: Slavery, Suffering, and Sympathy in Eighteenth- and Nineteenth-Century Moral Debate	2006-01-03	University of Notre Dame::College of Arts and Letters::History
und:05741r68b2s	Etd	Andrea M Dunn	Air and LNAPL Entrapment in the Partially Saturated Fringe: Laboratory and Numerical Investigations	2006-06-16	University of Notre Dame::College of Engineering::Civil and Environmental Engineering and Earth Sciences
und:05741r68b34	Etd	Xiangning Li	Radiative Heat Transfer through Fibrous Materials	2007-12-12	University of Notre Dame::College of Engineering::Chemical and Biomolecular Engineering
und:05741r68b65	Etd	LaReine-Marie Veronica Mosely	Salvation Despite the Death of Jesus?  The Cross in the Later Soteriology of Edward Schillebeeckx:  African American Christian Female Perspectives	2008-07-15	University of Notre Dame::College of Arts and Letters::Theology
und:05741r6909c	Etd	Saurabh Nagrecha	Operationalizing Classification in Applied Machine Learning		University of Notre Dame::College of Engineering::Computer Science and Engineering
und:08612n51j94	Etd	Georgiana Young Kramer	On the Petrogenesis and Distribution of the High-Alumina Mare Basalts: An Integrated Approach Using Geochemical and Remote Sensing Data	2008-07-22	University of Notre Dame::College of Engineering::Civil and Environmental Engineering and Earth Sciences
und:08612n51k1p	Etd	Joel William Ottman	Masculine Glory	2010-10-25	University of Notre Dame::College of Arts and Letters::Art, Art History, and Design
und:08612n51k21	Etd	Robert Jess Lavolette	The Perils of Escapism	2011-09-26	University of Notre Dame::College of Arts and Letters::English
und:08612n51k6d	Etd	Matthew T. McNicholas	The Relevance and Transcendence of Ornament: A New Public High School for the South Side of Chicago	2006-05-22	
und:08612n51k4q	Etd	Xiaowen Liu	Performance Analysis and Topology Control of Large Wireless Networks With Fading	2008-09-02	University of Notre Dame::College of Engineering::Electrical Engineering
und:08612n51k9f	Etd	Anne Elizabeth Baker	The Electoral Causes of Party Polarization in Congress	2011-07-15	University of Notre Dame::College of Arts and Letters::Political Science
und:08612n51m10	Etd	Ryan Russell Hemme	Population Dynamics of the Yellow Fever Mosquito, Aedes aegypti	2011-09-21	University of Notre Dame::College of Engineering::Biological Sciences
und:08612n51m2b	Etd	Rendy Kartika	Programs Towards Tetrahydropyran Containing Small Macrolides of Cyanobacterial Origins:  Synthetic Methodology Development and Total Synthesis	2008-09-16	University of Notre Dame::College of Science::Chemistry and Biochemistry
und:08612n51m5c	Etd	Rebecca Anne Morrissey	Change in Democratic Parenting during the Transition to Adolescence: The Role of Young Adolescents' Noncompliance and Mothers' Perceived Influence	2010-12-14	University of Notre Dame::College of Arts and Letters::Psychology
und:08612n51m9r	Etd	Michael Francis	Borderline Bad: Philo of Alexandria on the Distinction between Voluntary and Involuntary Sin		University of Notre Dame::College of Arts and Letters::Theology
und:08612n51m8d	Etd	B. W. Benapfl	Investigation of Resistive Losses in Type II Superconductors		University of Notre Dame::College of Science::Physics
und:08612n51n19	Etd	Javier Osorio	Hobbes on Drugs: Understanding Drug Violence in Mexico		University of Notre Dame::College of Arts and Letters::Political Science
und:0c483j34v42	Etd	Florencia Foxley	Models of Motherhood? Alcestis and Medea as Hero Figures	2015-05-13	University of Notre Dame::College of Arts and Letters::Classics
und:0c483j34v6r	Etd	Jarrett Haley	We Americans	2008-11-04	University of Notre Dame::College of Arts and Letters::English
und:0c483j34v8f	Etd	Satyaki Ganguly	High Performance III-Nitride Heterostructure Devices Exploiting Polarization, Isotope Physics and Integrating with Silicon	2014-05-05	University of Notre Dame::College of Engineering::Electrical Engineering
und:0c483j34v9s	Etd	Jian Lin	New Insights into Lanthanide and Actinide Tellurite Chemistry	2014-07-23	University of Notre Dame::College of Engineering::Civil and Environmental Engineering and Earth Sciences
und:0c483j34w1b	Etd	Xiaolong Li	Improving Packet Caching Scalability Through the Concept of an Explicit End of Data Marker	2010-12-22	University of Notre Dame::College of Engineering::Computer Science and Engineering
und:0c483j34w4c	Etd	Drew Gorman-Lewis	The Adsorption of Chemical Contaminants onto Environmental Surfaces With Special Consideration of the Bacterial Surface	2006-06-16	University of Notre Dame::College of Engineering::Civil and Environmental Engineering and Earth Sciences
und:0c483j34w7d	Etd	Mary Caitlin Sherman	Nonadiabatic Dynamics and Path Sampling Methods: A New Perspective on the Simulation of Charge Transfer Reactions in the Condensed Phase	2015-02-20	University of Notre Dame::College of Science::Chemistry and Biochemistry
und:0c483j34w5q	Etd	YingYuan Zhou	Ferromagnetic Resonance Study of Spin Dynamics in GaMnAs Films	2010-12-08	University of Notre Dame::College of Science::Physics
und:0c483j34w8r	Etd	Claire Therese Reising	«C'était une grande victoire. Écrivez ça.»: Le nationalisme français et algérien et la réception des films autour de la guerre d'Algérie	2015-01-20	University of Notre Dame::College of Arts and Letters::Romance Languages and Literatures
und:0c483j34z29	Etd	Marcelo Aybar Lagos	Mechanisms of Gas Transfer and Biofilm Development in Membrane Aerated Biofilms		University of Notre Dame::College of Engineering::Civil and Environmental Engineering and Earth Sciences
und:0c483j34z71	Etd	Hao Lu	Development of Nanometer Ion Conductor for 2D-Crystal Memory and Universal Tunnel Transistor SPICE Model		University of Notre Dame::College of Engineering::Electrical Engineering
und:0g354f1841c	Etd	Jie Su	A Lateral-Drive Method to Address Pull-in Failure in MEMS	2008-02-18	University of Notre Dame::College of Engineering::Electrical Engineering
und:0g354f18432	Etd	Wenlong Zhang	Acoustics and Hydrodynamics of Fluid-Structure Interaction in a Submerged Elastic Duct	2010-10-21	University of Notre Dame::College of Engineering::Aerospace and Mechanical Engineering
und:0g354f18463	Etd	Scott Thompson Smith	Writing Land in Anglo-Saxon England	2008-09-05	University of Notre Dame::College of Arts and Letters::English
und:0g354f1848s	Etd	Stephen Karla	A Meditation on Artistic Intent	2006-05-08	University of Notre Dame::College of Arts and Letters::Art, Art History, and Design
und:0g354f1851p	Etd	Charles Adam Bee	Three Essays on the Causes and Consequences of Government Spending and Regulatory Programs	2011-07-20	University of Notre Dame::College of Arts and Letters::Economics
