id	creator	title	model
und:00000001r2s	Stacey S Tiberio	The Effects of Misspecified Measurement Interval in Multivariate Latent Differential Equation Models	Etd
und:00000001r4g	Michael Paul Davis	Experimental Investigation of the Cavitation of Aviation Fuel in a Converging-Diverging Nozzle	Etd
und:00000001r5t	Carolyn Ann Dehner	Insights into iron acquistion from mineral sources by pseudomonads	Etd
und:00000001s0d	Ryan Dee Ross	Functionalized Gold Nanoparticles as Damage-Specific X-ray Computed Tomography Contrast Agents in Bone Tissue	Etd
und:00000001s1r	Jeremy Thurston Newkirk	Dynamic Performance Analysis of a Robotic System Using Reliability-Based Design Optimization	Etd
und:00000001s3f	Ryan Christopher Kennedy	Identification and Annotation of Transposable Elements and Agent- and GIS-based Modeling of Pathogen Transmission	Etd
und:00000001s4s	Julieann Ulin	The Stranger in the House: Domestic Invasion in Twentieth-Century Irish and American Literature	Etd
und:02870v8507t	Dori C. Woods	Cellular mechanisms regulating follicle selection and granulosa cell differentiation in avian ovarian follicles	Etd
und:02870v8510q	Sheng Li	An Integrated Power, Area, and Timing Modeling Framework for the Design of Multithreaded and Multi/Manycore Architectures	Etd
und:02870v8509h	Peter Svoisky	Search for Mssm Higgs Boson Production in Ppbar Collisions at Sqrt(S)=1.96 Tev, With a Higgs Decaying Into Taus	Etd
und:02870v8512d	Muhammad Owais Iqbal	Coherent Structure in a Turbulent Axisymmetric Jet via a Vector Implementation of the Proper Orthogonal Decomposition	Etd
und:02870v85143	Elizabeth A. McNicholas	Human Flourishing in the American City: A New Plan for Detroit's Underserved Population	Etd
und:02870v85174	Ralf Matthias Bendlin	Intercell Interference Coordination Without Base Station Cooperation for Wireless Cellular Networks	Etd
und:02870v8518g	Shannon Noelle Gayk	"Sensible Signes": Mediating Images in Late Medieval Literature	Etd
und:02870v8519t	Joel Michael Dodson	"Some newer name than Christian": Confessionalization in Early Modern English Literature, Spenser to Donne	Etd
und:02870v85201	Myriam Patricia Roy	Structure-Activity Relationship of the Myriaporones and Biosynthetic Study of Tedanolide	Etd
und:02870v85232	Susan M Skube	The Regulation of CLIP-170-Microtubule Binding	Etd
und:02870v85263	Kelly A. Warmuth	Parent–Child Attachment Stability and Trajectories of Externalizing Behavior	Etd
und:02870v85294	Tanya Salyers	Network Based Modeling in Social Sciences and Biology	Etd
und:02870v8534q	Kevin B Phaup	Rebuilding Nepal: Applying Design Thinking to Sheltering in the Wake of Natural Disasters	Etd
und:05741r68945	Katherine Erin Cunningham	With God on Their Side	Etd
und:05741r6896v	Delores (Lora) Anne Smitham	Evaluating an Intuitive Eating Program for Binge Eating Disorder: A Benchmarking Study	Etd
und:05741r68976	Theresa O'Byrne	Dublin&#39;s Hoccleve: James Yonge, Scribe, Author, and Bureaucrat, and the Literary World of Late Medieval Dublin	Etd
und:05741r6899w	Margaret Nicola Abruzzo	Polemical Pain: Slavery, Suffering, and Sympathy in Eighteenth- and Nineteenth-Century Moral Debate	Etd
und:05741r68b2s	Andrea M Dunn	Air and LNAPL Entrapment in the Partially Saturated Fringe: Laboratory and Numerical Investigations	Etd
und:05741r68b34	Xiangning Li	Radiative Heat Transfer through Fibrous Materials	Etd
und:05741r68b65	LaReine-Marie Veronica Mosely	Salvation Despite the Death of Jesus?  The Cross in the Later Soteriology of Edward Schillebeeckx:  African American Christian Female Perspectives	Etd
und:05741r6909c	Saurabh Nagrecha	Operationalizing Classification in Applied Machine Learning	Etd
und:08612n51j94	Georgiana Young Kramer	On the Petrogenesis and Distribution of the High-Alumina Mare Basalts: An Integrated Approach Using Geochemical and Remote Sensing Data	Etd
und:08612n51k1p	Joel William Ottman	Masculine Glory	Etd
und:08612n51k21	Robert Jess Lavolette	The Perils of Escapism	Etd
und:08612n51k6d	Matthew T. McNicholas	The Relevance and Transcendence of Ornament: A New Public High School for the South Side of Chicago	Etd
und:08612n51k4q	Xiaowen Liu	Performance Analysis and Topology Control of Large Wireless Networks With Fading	Etd
und:08612n51k9f	Anne Elizabeth Baker	The Electoral Causes of Party Polarization in Congress	Etd
und:08612n51m10	Ryan Russell Hemme	Population Dynamics of the Yellow Fever Mosquito, Aedes aegypti	Etd
und:08612n51m2b	Rendy Kartika	Programs Towards Tetrahydropyran Containing Small Macrolides of Cyanobacterial Origins:  Synthetic Methodology Development and Total Synthesis	Etd
und:08612n51m5c	Rebecca Anne Morrissey	Change in Democratic Parenting during the Transition to Adolescence: The Role of Young Adolescents' Noncompliance and Mothers' Perceived Influence	Etd
und:08612n51m9r	Michael Francis	Borderline Bad: Philo of Alexandria on the Distinction between Voluntary and Involuntary Sin	Etd
und:08612n51m8d	B. W. Benapfl	Investigation of Resistive Losses in Type II Superconductors	Etd
und:08612n51n19	Javier Osorio	Hobbes on Drugs: Understanding Drug Violence in Mexico	Etd
und:0c483j34v42	Florencia Foxley	Models of Motherhood? Alcestis and Medea as Hero Figures	Etd
und:0c483j34v6r	Jarrett Haley	We Americans	Etd
und:0c483j34v8f	Satyaki Ganguly	High Performance III-Nitride Heterostructure Devices Exploiting Polarization, Isotope Physics and Integrating with Silicon	Etd
und:0c483j34v9s	Jian Lin	New Insights into Lanthanide and Actinide Tellurite Chemistry	Etd
und:0c483j34w1b	Xiaolong Li	Improving Packet Caching Scalability Through the Concept of an Explicit End of Data Marker	Etd
und:0c483j34w4c	Drew Gorman-Lewis	The Adsorption of Chemical Contaminants onto Environmental Surfaces With Special Consideration of the Bacterial Surface	Etd
und:0c483j34w7d	Mary Caitlin Sherman	Nonadiabatic Dynamics and Path Sampling Methods: A New Perspective on the Simulation of Charge Transfer Reactions in the Condensed Phase	Etd
und:0c483j34w5q	YingYuan Zhou	Ferromagnetic Resonance Study of Spin Dynamics in GaMnAs Films	Etd
und:0c483j34w8r	Claire Therese Reising	«C'était une grande victoire. Écrivez ça.»: Le nationalisme français et algérien et la réception des films autour de la guerre d'Algérie	Etd
und:0c483j34z29	Marcelo Aybar Lagos	Mechanisms of Gas Transfer and Biofilm Development in Membrane Aerated Biofilms	Etd
und:0c483j34z71	Hao Lu	Development of Nanometer Ion Conductor for 2D-Crystal Memory and Universal Tunnel Transistor SPICE Model	Etd
und:0g354f1841c	Jie Su	A Lateral-Drive Method to Address Pull-in Failure in MEMS	Etd
und:0g354f18432	Wenlong Zhang	Acoustics and Hydrodynamics of Fluid-Structure Interaction in a Submerged Elastic Duct	Etd
und:0g354f18463	Scott Thompson Smith	Writing Land in Anglo-Saxon England	Etd
und:0g354f1848s	Stephen Karla	A Meditation on Artistic Intent	Etd
und:0g354f1851p	Charles Adam Bee	Three Essays on the Causes and Consequences of Government Spending and Regulatory Programs	Etd
und:0g354f1857r	Bipasha Deb	Study of Sequence Dynamics Relationship with Binding Affinity of Pin1-WW Domain	Etd
und:0g354f18610	Joungeun Lee	Anger in Thomas Aquinas and <i>Han</i>-full Anger	Etd
und:0k225b01d6n	Allison Olivia Evans	Between Something and Nothing: Phenomenological Light Studies	Etd
und:0k225b01d8b	Lisa Marie DeBeer-Schmitt	Aspects of Vortex Physics in CeCoIn5	Etd
und:0k225b01f3x	Jody Samantha Nicholson	Precursors to Paternal Identity: Antecedents and Consequences of Metaparenting	Etd
und:0k225b01f5m	Pauline Bourbon	Development of potential Niemann-Pick type C therapeutics and the synthesis of caged nicotinamide and cholesterol to gain a better understanding of cholesterol biosynthesis and trafficking	Etd
und:0k225b01f48	Allison Ann Penner Regier	A Flexible Comparative Genomics Framework for Integrating Heterogeneous Sequence Data	Etd
und:0k225b01f6z	Jason Kistler Keller	Controls of Microbial Carbon Cycling in Northern Peatlands	Etd
und:0k225b01f79	Brian P Dunn	Overhead in Communication Systems as the Cost of Constraints	Etd
und:0k225b01f90	Colleen Therese Cole	Differential Targeting of Cytoplasmic Dynein During Mitosis by Site Specific Phosphorylation	Etd
und:0k225b01g2w	Caroline L. Wilky	Chronicling Creation: Nature and History Writing, c. 1150–1240	Etd
und:0k225b01h9m	Adam R. Hickman	The Transition from Rotating Stall to Surge in an Axial Compressor	Etd
und:0p096684p35	Brian Bucher	On the Production of the Light Heavy-Elements (A~90)	Etd
und:0p096684p4h	Patrick Joseph Donoghue	Computational Modeling of Metal Catalyzed Reactions for the Prediction and Improvement of Enantioselectivity	Etd
und:0p096684p5v	Mary Catherine Wagner Fuhs	A Latent Variable Approach to Examining Executive Functioning Development and Emerging Mathematics Skills in Preschoolers at Head Start	Etd
und:0p096684p66	Clinton Waterman	I Blew Up A Regional Airport	Etd
und:0p096684p8w	Jeffrey Howard Green	Work for a New Theory of Modality	Etd
und:0p096684q0f	Gwendolyn Anne Oxenham	Essence Game	Etd
und:0p096684q3g	Jay Peter Giblin	Optical Properties of Single Cadmium Selenide Nanowires: Breaking Through the Limitations of Ensemble Measurements	Etd
und:0p096684q9j	Christine Marie Steeger	Predictors of Maternal Psychological Control: Adolescent Behavioral Antecedents and the Mediating Role of Mother-Adolescent Conflict	Etd
und:0r967367z8x	Deqiang Chen	Noncoherent Communication Theory for Cooperative Diversity in Wireless Networks	Etd
und:0r96736800r	Margaret E. Uttke	New Directions in Editing Renaissance Drama: Reading, Performance, and the Digital Age	Etd
und:0r96736805g	Brent Spanjersberg Mitchell	A Nonlinear Constitutive Model to Predict the Stress Strain Behavior of Small Intestinal Submucosa	Etd
und:0r96736808h	Brian D. Fisher	Surface-Functionalized Fish Bone to Stabilize Arsenic and Tungsten Removal from Groundwater	Etd
und:0r96736806t	Paul Carl Stey	The Moral Faculty in Adolescents: Investigating Age Differences in the Application and Justification of Three Principles of Harm	Etd
und:0r96736809v	Christopher Jason Patrick	The causes and consequences of between-stream variation in aquatic macroinvertebrate communities in stream networks	Etd
und:0r96736814f	Haipeng Cai	Cost-Effective Dependency Analysis for Reliable Software Evolution	Etd
und:0r967368222	William A. O'Brien	Toward Direct Bandgap Germanium Optoelectronics	Etd
und:0v838051762	Daniel Anthony Duffin	Feed-Forward Adaptive-Optic Correction of a Weakly-Compressible High-Subsonic Shear Layer	Etd
und:0v83805177d	Sarah Elizabeth Morice Brubaker	The Place of the Spirit: Toward a Trinitarian Theology of Location	Etd
und:0v83805178r	Joseph Small	Imagining Whiteness in Art	Etd
und:0v838051809	Michael John Donovan	Evaluation of the Host-Parasite Interphase: Understanding the Impact of Vector-Host Interaction on Plasmodium Development and Innate Immunity in Parasitic Diseases	Etd
und:0v838051820	Timothy M Dale	Toward a Post-Subjectivist Politics?: Reflections on Benhabib, Young, and Mouffe	Etd
und:0v838051851	Chad Patton Kiewiet de Jonge	Political Learning and Democratic Commitment in New Democracies	Etd
und:0v83805191z	Charles Andr  Laurin	Variable Selection Through Regularized Regression: Intervals, Interactions, and Informal Inference	Etd
und:0v838051971	Patrick T. Kelly	The Influence of Resource Quality and Lake Physics on Zooplankton	Etd
und:0v838051b2m	Victoria L Smith	Characterizing Exosome Biogenesis and Function in Stimulating the Immune Response during a <em>Mycobacterium</em> Infection	Etd
und:0v838051b60	Sneha Polisetti Couvillion	Raman Spectroscopy Based Toolkit for Mapping Bacterial Social Interactions Relevant to Human and Plant Health	Etd
und:0v838051c2x	Nicholas Giovanni De Lucca	Studies of the Pressure Field and Related Beam Jitter for Hemisphere-on-Cylinder Turrets	Etd
und:0v838051f47	Jessica M. Blaxton	Interindividual Differences and Intraindividual Change in the Intraindividual Relationship between Stress and Negative Affect: Age, Resilience, and Stress Influences	Etd
und:0z708w34j2w	Jusong Wang	Non-Selective Oxidation of Aluminum Gallium Arsenide Heterostructures for High Performance Curved Waveguide Semiconductor Lasers	Etd
und:0z708w34j4k	Kyle E. Jones	Percolation Mechanism in Orthopedic Implants	Etd
und:0z708w34j7m	Kamthorn Chailuek	An Extension of Bergman Spaces and their Toeplitz Operators	Etd
und:0z708w34j8z	Shannon Drysdale Walsh	Engendering State Institutions: State Response to Violence Against Women in Latin America	Etd
und:0z708w34j99	Ryan Thomas Haws	Computation of Nitrile Vibrations as a Probe of the Structure and Dynamics of Condensed Matter Systems	Etd
und:0z708w34k1v	Pius Ojo Adelani	Syntheses, Structure Elucidation, and Properties of Novel Actinide Diphosphonates and Carboxyphosphonates	Etd
und:0z708w34k0h	Amy Jonason	The Elusive, Inclusive "We": Inclusion and Contradiction in a Prefigurative Social Movement Group	Etd
und:0z708w34k4w	Trunojoyo Anggara	First-Principles Study of NO Oxidation on Cu-exchanged SSZ-13 Zeolite Catalysts	Etd
