id	creator	title	model
und:00000001v5r	Rosecrans, William S. (William Starke), 1819-1898.	William S. Rosecrans Papers	FindingAid
und:00000001v7f	Phillips, Charles, 1880-1933.	Charles Phillips Papers	FindingAid
und:00000001v94	Havey, William C., 1897-1959	William C. Havey Papers	FindingAid
und:00000001w1p	Vice-President of Business Affairs	Notre Dame: Vice-President of Business Affairs	FindingAid
und:02870v85472	Wood, Paul, 1872-1891.	Paul Wood Papers	FindingAid
und:02870v8549r	Oblates of Providence.	Oblates of Providence Rule book	FindingAid
und:02870v85519	Ford, Austin E., 1840-1933.	Austin E. Ford Papers	FindingAid
und:02870v85530	Beichner, Paul E., 1912-	Paul E. Beichner Papers	FindingAid
und:02870v8569c	Conaghan, Paul R.	Paul R. Conaghan Scrapbook	FindingAid
und:05741r68d74	Gillmore, Quincy Adams, 1825-1888.	Quincy Adams Gillmore Manuscript	FindingAid
und:05741r68d9t	President, J. Hugh O'Donnell	President 1940-1946: J. Hugh O'Donnell	FindingAid
und:05741r68f1c	Walter, Henry A.	Henry A. Walter Papers	FindingAid
und:05741r68f32	Boyer, Norma	Norma Boyer's Morris Inn Scrapbooks	FindingAid
und:08612n51p9c	Woodward, Robert	Robert Woodward Photograph Collection	FindingAid
und:08612n51q1x	O'Brien, John A. (John Anthony), 1893-1980.	John A. O'Brien Papers	FindingAid
und:08612n51q3m	Freschi, John J.	John J. Freschi Scrapbook	FindingAid
und:08612n51q59	Belloc, Hilaire, 1870-1953.	Hilaire Belloc Diary and Sketchbooks	FindingAid
und:08612n51s1j	Greene, Dana	Dana Greene Papers	FindingAid
und:0c483j34z9q	Dickman, J. T. (Joseph Theodore), 1857-1927.	J. T. Dickman Papers	FindingAid
und:0c483j3501j	University of Notre Dame. Photographer.	University Photographer	FindingAid
und:0c483j35037	Hayes, Gerald W.	Gerald W. Hayes Papers	FindingAid
und:0c483j3505x	University of Notre Dame. Class of 1926.	Notre Dame: Class of 1926 and pre-1924 Alumni Secretary Records	FindingAid
und:0c483j3519m	Goodman, Alec	Alec Goodman photograph collection	FindingAid
und:0g354f18839	The Observer Student Newspaper	The Observer Records	FindingAid
und:0g354f1881m	University of Notre Dame. Women's Soccer Program.	Women's Soccer Records	FindingAid
und:0g354f18850	Montana, Frank	Frank Montana Collection	FindingAid
und:0g354f1887p	Benet, Mary.	Sister Mary Benet Papers	FindingAid
und:0g354f18b3x	Coomes, Edward Arthur	Edward Arthur Coomes Manuscript	FindingAid
und:0k225b01j15	Guilka, Therese.	Therese Guilka Papers	FindingAid
und:0k225b01j3v	Hesburgh, Theodore Martin, 1917-	Theodore M. Hesburgh Papers	FindingAid
und:0k225b01j5j	Hazo, Samuel John	Samuel John Hazo Papers	FindingAid
und:0k225b01j77	Catholic Art Association.	Catholic Art Association Records	FindingAid
und:0p096684t3d	Phillips, Wendell T.	Wendell T. Phillips Papers	FindingAid
und:0p096684t53		Northern Ohio Catholic Churches and Institutional Buildings Collection	FindingAid
und:0p096684t7s	Franciscus, Peter, 1850-1917.	Peter Franciscus Papers	FindingAid
und:0p096684t9g	Brent, John Carroll.	John Carroll Brent	FindingAid
und:0p096684w5q	Gorski, Eugene F.	Eugene F. Gorski Papers	FindingAid
und:0r967367x9z	Lifshits, Vladimir (1913-1978)	Vladimir Lifshits, Asya Genkina, and Lev Loseff Papers	FindingAid
und:0r96736833q	Sullivan, Mary	Mary Sullivan Papers	FindingAid
und:0r96736835d	University of Notre Dame. President Emeritus Hesburgh.	Notre Dame President Emeritus Hesburgh Records	FindingAid
und:0r967368373	University of Notre Dame Archives	Holy Card Collection	FindingAid
und:0r96736839s	Cadotte Family.	Cadotte Family Papers	FindingAid
und:0v838051c5z	University of Notre Dame	Notre Dame in World War I	FindingAid
und:0v838051c7n	Carmel of Reno	Carmel of Reno Records	FindingAid
und:0v838051c9b	Franciscans. Province of St. John the Baptist.	Franciscans. Province of St. John the Baptist Circular letters	FindingAid
und:0v838051d1w	Financial Aid and Scholarship Office	Notre Dame: Financial Aid and Scholarship Office	FindingAid
und:0v838051f78	Crosson, Frederick James, 1926-2009	Frederick James Crosson Papers	FindingAid
und:0z708w34n5v	Goldsborough, Howes	Howes Goldsborough	FindingAid
und:0z708w34n7j	Clark, Francis P. (Francis Patrick), 1936-1979.	Parish and Institutional Records Collection	FindingAid
und:0z708w34n97	Crotty, Harold D.	Harold D. Crotty Collection	FindingAid
und:0z708w34p1s	College of Arts and Letters: Dean's Office	Notre Dame: College of Arts and Letters: Dean's Office	FindingAid
und:0z708w3572c	University of Notre Dame. Athletic Compliance Office.	Notre Dame: Compliance Office Records	FindingAid
und:12579s17v90	George Rugg	Lawrence Shields Letters	FindingAid
und:12579s17x7x	University of Notre Dame	Notre Dame in World War II	FindingAid
und:12579s17x9m	Campus Ministry	Campus Ministry	FindingAid
und:12579s17z15	Fransen Family	Fransen Brothers Papers	FindingAid
und:12579s17z3v	Cullen, Franklin	Brother Franklin Cullen Collection	FindingAid
und:12579s1809h	Goulet, Denis	Denis Goulet Papers	FindingAid
und:1544bp01234	Houghton family	Houghton family correspondence 	FindingAid
und:1544bp0155r	George Rugg	Vatican II Collection	FindingAid
und:1544bp0167r	Newman, James E. (James Edward), 1922-	James E. Newman Papers	FindingAid
und:1544bp0169f	Pieper, Josef, 1904-	Josef Pieper Papers	FindingAid
und:1544bp01710	Hebert, Peter E.	Peter E. Hebert Papers	FindingAid
und:1544bp0173p	Cappon, John C., 1825-1892	John C. Cappon Papers	FindingAid
und:1544bp01s40	Beyond Our Control	Beyond Our Control Records	FindingAid
und:1831cj84h18	O'Connor, Lillian, 1904-1987.	Lillian O'Connor Papers	FindingAid
und:1831cj84h3z	Chatard, Francis Silas, 1834-1918.	Francis Silas Chatard Letters received	FindingAid
und:1831cj84h5n	Saint Benedict's Farm, Waelder, Texas.	Saint Benedict's Farm Records	FindingAid
und:1c18df67r92	Safford, William H. (William Harrison), 1821-1903.	William H. Safford Letters received	FindingAid
und:1c18df67s1m	Pike, Frederick B.	Frederick B. Pike Papers	FindingAid
und:1c18df67s39	Hering, Mrs. Frank E.	Mrs. Frank E. Hering Papers	FindingAid
und:1c18df67s50	Carey, Charles Michael, 1908-	Charles M. Carey Photographs	FindingAid
